Sub_ID,Age,condition,glorp_type,glorp_adj,glorp,peebo_type,peebo_adj,peebo,tibu_type,tibu_adj,tibu,zib_type,zib_adj,zib,Size_correct,Feature_correct,total correct,comments,location,agegroup,posttest,broken,whole,shortest,longest,clean,dirty,tallest,shortest,wet,dry,biggest,smallest,smoothest,pointiest
110112_04,4.5,2-AB,Size,small,0,Feature,pointy,0,Size,long,1,Feature,dirty,1,1,1,2,,Bing,4.5--5.0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
110612_01,4.52,2-AB,Size,small,1,Feature,pointy,1,Size,long,1,Feature,dirty,1,2,2,4,,Bing,4.5--5.0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120312_01,4.53,1-BA,Feature,broken,1,Size,short,1,Size,long,1,Feature,dirty,1,2,2,4,good clip,Bing,4.5--5.0,96.43,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1
110112_03,4.54,2-BB,Feature,broken,1,Size,short,1,Feature,wet,1,Size,tall,1,2,2,4,"posttest experimenter error w/""small""",Bing,4.5--5.0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
110912_07,4.54,1-BB,Feature,broken,1,Size,short,1,Size,long,1,Feature,dirty,1,2,2,4,,CDM,4.5--5.0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101812_04,4.55,1-AB,Size,small,0,Feature,pointy,0,Feature,wet,1,Size,tall,0,0,1,1,,Bing,4.5--5.0,92.86,1,0,1,1,1,1,1,1,1,1,1,1,1,1
120312_03,4.55,1-BB,Feature,broken,1,Size,short,1,Size,long,1,Feature,dirty,1,2,2,4,,Bing,4.5--5.0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
110112_02,4.56,2-BA,Feature,broken,1,Size,short,1,Feature,wet,1,Size,tall,1,2,2,4,,Bing,4.5--5.0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101912_12,4.56,1-AB,Size,small,1,Feature,pointy,1,Feature,wet,1,Size,tall,1,2,2,4,good clip,CDM,4.5--5.0,92.86,1,1,0.5,1,1,1,1,0.5,1,1,1,1,1,1
112712_02,4.57,2-BA,Feature,broken,1,Size,short,1,Feature,wet,1,Size,tall,1,2,2,4,good clip,Bing,4.5--5.0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120312_02,4.58,1-BA,Feature,broken,1,Size,short,1,Size,long,1,Feature,dirty,1,2,2,4,,Bing,4.5--5.0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120312_04,4.61,1-AA,Size,small,1,Feature,pointy,1,Feature,wet,1,Size,tall,1,2,2,4,,Bing,4.5--5.0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
