Sub_ID,experimenter,Age,condition,book_type,glorp_type,glorp_adj,glorp,peebo_type,peebo_adj,peebo,tibu_type,tibu_adj,tibu,zib_type,zib_adj,zib,Size_correct,Feature_correct,total correct,agegroup,posttest,broken,whole,shortest,longest,clean,dirty,tallest,shortest,wet,dry,biggest,smallest,smoothest,pointiest
021814_04,LHH,4.67,2-AA,Adjective_Only,Size,small,0,Feature,pointy,1,Size,long,1,Feature,dirty,1,1,2,3,4.5-5.0,100,,,,,,,,,,,,,,
041504_02,LHH,4.63,1-AA,Adjective_Only,Size,small,0,Feature,pointy,0,Feature,wet,0,Size,tall,0,0,0,0,4.5-5.0,100,,,,,,,,,,,,,,
051413_01,ACH,4.47,2-AB,Paired,Size,small,0,Feature,pointy,0,Size,long,1,Feature,dirty,1,1,1,2,4.0-4.5,100,,,,,,,,,,,,,,
051413_02,ACH,4.38,2-BB,Paired,Feature,broken,1,Size,short,1,Feature,wet,1,Size,tall,1,2,2,4,4.0-4.5,100,,,,,,,,,,,,,,
051413_03,ACH,4.4,2-BA,Paired,Feature,broken,1,Size,short,1,Feature,wet,1,Size,tall,1,2,2,4,4.0-4.5,100,,,,,,,,,,,,,,
052013_01,ACH,4.62,1-BA,Paired,Feature,broken,1,Size,short,1,Size,long,1,Feature,dirty,1,2,2,4,4.5-5.0,100,,,,,,,,,,,,,,
052013_02,ACH,4.36,1-BB,Paired,Feature,broken,1,Size,short,1,Size,long,1,Feature,dirty,1,2,2,4,4.0-4.5,100,,,,,,,,,,,,,,
052013_03,ACH,4.94,1-AB,Paired,Size,small,1,Feature,pointy,0,Feature,wet,1,Size,tall,1,2,1,3,4.5-5.0,100,,,,,,,,,,,,,,
052013_04,ACH,4.69,1-AA,Paired,Size,small,1,Feature,pointy,0,Feature,wet,1,Size,tall,0,1,2,3,4.5-5.0,100,,,,,,,,,,,,,,
052013_05,ACH,4.42,2-AA,Paired,Size,small,0,Feature,pointy,1,Size,long,1,Feature,dirty,1,1,2,3,4.0-4.5,100,,,,,,,,,,,,,,
052013_06,ACH,4.92,2-AB,Paired,Size,small,1,Feature,pointy,0,Size,long,1,Feature,dirty,1,2,1,3,4.5-5.0,100,,,,,,,,,,,,,,
052013_07,ACH,4.88,2-BB,Paired,Feature,broken,1,Size,short,0,Feature,wet,1,Size,tall,1,1,2,3,4.5-5.0,100,,,,,,,,,,,,,,
052113_01,ACH,4.81,1-AA,Paired,Size,small,1,Feature,pointy,1,Feature,wet,1,Size,tall,0,1,2,3,4.5-5.0,100,,,,,,,,,,,,,,
052113_02,ACH,4.71,1-AB,Paired,Size,small,1,Feature,pointy,0,Feature,wet,1,Size,tall,1,2,1,3,4.5-5.0,100,,,,,,,,,,,,,,
052113_03,ACH,4.97,1-BB,Paired,Feature,broken,1,Size,short,1,Size,long,1,Feature,dirty,1,2,2,4,4.5-5.0,100,,,,,,,,,,,,,,
